name,price
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",¥432.01
The Art Forger,¥358.99
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,¥173.77
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,¥283.95
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,¥368.42
Soul Reader,¥348.60
Security,¥345.69
"Saga, Volume 6 (Saga (Collected Editions) #6)",¥220.36
"Saga, Volume 5 (Saga (Collected Editions) #5)",¥449.53
Reskilling America: Learning to Labor in the Twenty-First Century,¥174.65
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",¥443.90
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",¥119.87
Princess Between Worlds (Wide-Awake Princess #5),¥117.49
"Pop Gun War, Volume 1: Gift",¥167.08
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",¥319.54
Patience,¥89.48
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",¥135.99
orange: The Complete Collection 1 (orange: The Complete Collection #1),¥426.37
Online Marketing for Busy Authors: A Step-By-Step Guide,¥408.23
On a Midnight Clear,¥123.92
Obsidian (Lux #1),¥130.88
My Paris Kitchen: Recipes and Stories,¥293.91
Masks and Shadows,¥496.74
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",¥123.48
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",¥413.16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",¥401.71
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),¥175.45
"Layered: Baking, Building, and Styling Spectacular Cakes",¥353.27
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),¥474.72
Join,¥314.16
In the Country We Love: My Family Divided,¥193.76
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,¥505.20
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",¥256.91
I am a Hero Omnibus Volume 1,¥481.15
How to Be Miserable: 40 Strategies You Already Use,¥405.41
Her Backup Boyfriend (The Sorensen Family #1),¥299.19
"Giant Days, Vol. 2 (Giant Days #5-8)",¥194.73
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,¥261.49
First and First (Five Boroughs #3),¥140.66
Fifty Shades Darker (Fifty Shades #2),¥193.41
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,¥478.69
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",¥334.42
Danganronpa Volume 1,¥457.90
Crown of Midnight (Throne of Glass #2),¥381.28
"Codename Baboushka, Volume 1: The Conclave of Death",¥323.41
Camp Midnight,¥150.43
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,¥256.65
Burning,¥253.74
Bossypants,¥435.62
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",¥333.98
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",¥247.40
Algorithms to Live By: The Computer Science of Human Decisions,¥271.36
A World of Flavor: Your Gluten Free Passport,¥378.28
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",¥499.91
A Murder in Time,¥146.56
A Flight of Arrows (The Pathfinders #2),¥489.08
A Fierce and Subtle Poison,¥247.75
A Court of Thorns and Roses (A Court of Thorns and Roses #1),¥461.25
(Un)Qualified: How God Uses Broken People to Do Big Things,¥475.60
You Are What You Love: The Spiritual Power of Habit,¥192.62
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",¥381.36
Tuesday Nights in 1980,¥185.31
Tracing Numbers on a Train,¥366.39
Throne of Glass (Throne of Glass #1),¥308.88
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,¥525.28
Thirteen Reasons Why,¥464.33
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,¥511.54
The Wedding Dress,¥212.44
The Vacationers,¥371.24
The Third Wave: An Entrepreneur’s Vision of the Future,¥111.06
The Stranger,¥153.60
The Shadow Hero (The Shadow Hero),¥291.88
The Secret (The Secret #1),¥241.06
The Regional Office Is Under Attack!,¥452.35
The Psychopath Test: A Journey Through the Madness Industry,¥317.07
The Project,¥93.80
The Power of Now: A Guide to Spiritual Enlightenment,¥383.48
The Omnivore's Dilemma: A Natural History of Four Meals,¥336.53
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,¥328.87
The Murder of Roger Ackroyd (Hercule Poirot #4),¥388.41
The Mistake (Off-Campus #2),¥381.28
The Matchmaker's Playbook (Wingmen Inc. #1),¥491.90
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,¥331.16
The Long Shadow of Small Ghosts: Murder and Memory in an American City,¥96.62
The Kite Runner,¥368.33
The House by the Lake,¥325.44
The Glittering Court (The Glittering Court #1),¥390.00
The Girl on the Train,¥484.59
The Genius of Birds,¥151.84
The Emerald Mystery,¥203.89
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,¥363.31
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,¥281.84
The Artist's Way: A Spiritual Path to Higher Creativity,¥339.00
The Art of War,¥293.64
The Argonauts,¥96.27
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,¥242.65
Suddenly in Love (Lake Haven #1),¥493.13
Something More Than This,¥143.03
Soft Apocalypse,¥230.05
So You've Been Publicly Shamed,¥107.72
Shoe Dog: A Memoir by the Creator of NIKE,¥211.29
"Shobu Samurai, Project Aryoku (#3)",¥255.95
Secrets and Lace (Fatal Hearts #1),¥178.53
Scarlett Epstein Hates It Here,¥383.57
Romero and Juliet: A Tragic Tale of Love and Zombies,¥325.35
Redeeming Love,¥180.29
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,¥361.64
Poems That Make Grown Women Cry,¥124.98
"Nightingale, Sing",¥337.15
Night Sky with Exit Wounds,¥361.55
Mrs. Houdini,¥266.43
Modern Romance,¥248.90
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),¥94.77
Louisa: The Extraordinary Life of Mrs. Adams,¥148.41
Little Red,¥118.64
Library of Souls (Miss Peregrine’s Peculiar Children #3),¥427.69
Large Print Heart of the Pride,¥168.66
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,¥505.20
Hollow City (Miss Peregrine’s Peculiar Children #2),¥378.55
Grumbles,¥195.17
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,¥435.35
Frostbite (Vampire Academy #2),¥264.14
Follow You Home,¥188.13
First Steps for New Christians (Print Edition),¥255.42
Finders Keepers (Bill Hodges Trilogy #2),¥471.47
"Fables, Vol. 1: Legends in Exile (Fables #1)",¥366.57
Eureka Trivia 6.0,¥480.80
Drive: The Surprising Truth About What Motivates Us,¥307.82
Done Rubbed Out (Reightman & Bailey #1),¥332.22
Doing It Over (Most Likely To #1),¥313.64
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",¥371.32
Dark Notes,¥169.02
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",¥171.13
Close to You,¥435.62
Chasing Heaven: What Dying Taught Me About Living,¥332.92
Big Magic: Creative Living Beyond Fear,¥271.27
Becoming Wise: An Inquiry into the Mystery and Art of Living,¥241.59
Beauty Restored (Riley Family Legacy Novellas #3),¥97.85
Batman: The Long Halloween (Batman),¥321.47
Batman: The Dark Knight Returns (Batman),¥135.46
Ayumi's Violin,¥136.34
Anonymous,¥412.37
Amy Meets the Saints and Sages,¥162.59
Amid the Chaos,¥322.18
Amatus,¥445.13
Agnostic: A Spirited Manifesto,¥110.18
Zealot: The Life and Times of Jesus of Nazareth,¥217.55
You (You #1),¥384.10
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",¥328.87
Wild Swans,¥126.48
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,¥463.71
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,¥336.45
What's It Like in Space?: Stories from Astronauts Who've Been There,¥172.63
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",¥474.72
Walt Disney's Alice in Wonderland,¥114.15
V for Vendetta (V for Vendetta Complete),¥326.76
Until Friday Night (The Field Party #1),¥407.88
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",¥404.70
Twenty Yawns,¥194.47
Through the Woods,¥223.53
This Is Where It Ends,¥238.86
The Year of Magical Thinking,¥379.07
The Wright Brothers,¥500.27
The White Queen (The Cousins' War #1),¥228.20
The Wedding Pact (The O'Malleys #2),¥287.21
The Time Keeper,¥245.55
The Testament of Mary,¥463.89
The Star-Touched Queen,¥405.32
The Songs of the Gods,¥391.76
The Song of Achilles,¥329.40
The Rosie Project (Don Tillman #1),¥475.96
The Power of Habit: Why We Do What We Do in Life and Business,¥148.67
The Marriage of Opposites,¥247.31
The Lucifer Effect: Understanding How Good People Turn Evil,¥91.60
The Long Haul (Diary of a Wimpy Kid #9),¥388.15
The Loney,¥206.10
The Literature Book (Big Ideas Simply Explained),¥153.51
The Last Mile (Amos Decker #2),¥477.45
The Immortal Life of Henrietta Lacks,¥358.20
The Hidden Oracle (The Trials of Apollo #1),¥460.28
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,¥253.39
The Guilty (Will Robie #4),¥121.72
The First Hostage (J.B. Collins #2),¥227.67
The Dovekeepers,¥429.63
The Darkest Lie,¥311.35
The Bane Chronicles (The Bane Chronicles #1-11),¥393.96
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,¥138.89
The 14th Colony (Cotton Malone #11),¥345.61
That Darkness (Gardiner and Renner #1),¥122.60
Tastes Like Fear (DI Marnie Rome #3),¥94.15
Take Me with You,¥398.19
Swell: A Year of Waves,¥401.45
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),¥104.72
Still Life with Bread Crumbs,¥232.61
Steve Jobs,¥347.90
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,¥394.05
Someone Like You (The Harrisons #2),¥464.95
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",¥312.05
Shtum,¥491.81
See America: A Celebration of Our National Parks & Treasured Sites,¥430.42
salt.,¥412.01
Robin War,¥421.17
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",¥224.42
Rain Fish,¥207.59
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",¥448.21
Pet Sematary,¥93.01
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",¥459.31
Once Was a Time,¥161.00
Old School (Diary of a Wimpy Kid #10),¥104.19
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,¥193.32
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",¥338.12
My Name Is Lucy Barton,¥366.04
My Mrs. Brown,¥215.61
My Kind of Crazy,¥355.47
Mr. Mercedes (Bill Hodges Trilogy #1),¥254.54
More Than Music (Chasing the Dream #1),¥331.25
Made to Stick: Why Some Ideas Survive and Others Die,¥342.17
Luis Paints the World,¥475.16
Luckiest Girl Alive,¥438.88
Lowriders to the Center of the Earth (Lowriders in Space #2),¥453.67
Love Is a Mix Tape (Music #1),¥158.80
Looking for Lovely: Collecting the Moments that Matter,¥256.65
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",¥413.16
Let It Out: A Journey Through Journaling,¥235.95
Lady Midnight (The Dark Artifices #1),¥143.39
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",¥172.19
Island of Dragons (Unwanteds #7),¥261.14
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,¥228.82
I Am Pilgrim (Pilgrim #1),¥93.36
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",¥129.91
"Hush, Hush (Hush, Hush #1)",¥414.13
Hold Your Breath (Search and Rescue #1),¥253.83
Hamilton: The Revolution,¥517.79
Greek Mythic History,¥90.10
God: The Most Unpleasant Character in All Fiction,¥264.49
Glory over Everything: Beyond The Kitchen House,¥403.74
Feathers: Displays of Brilliant Plumage,¥432.01
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",¥132.64
Every Last Word,¥409.28
Eligible (The Austen Project #4),¥238.60
El Deafo,¥507.49
Eight Hundred Grapes,¥126.74
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",¥455.79
"Eat Fat, Get Thin",¥476.22
Don't Get Caught,¥487.50
Doctor Sleep (The Shining #2),¥353.36
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),¥330.37
Dear Mr. Knightley,¥98.73
Daily Fantasy Sports,¥322.18
Crazy Love: Overwhelmed by a Relentless God,¥420.29
Cometh the Hour (The Clifton Chronicles #6),¥220.28
Code Name Verity (Code Name Verity #1),¥194.91
Clockwork Angel (The Infernal Devices #1),¥388.76
City of Glass (The Mortal Instruments #3),¥493.40
City of Fallen Angels (The Mortal Instruments #4),¥98.91
City of Bones (The Mortal Instruments #1),¥381.19
City of Ashes (The Mortal Instruments #2),¥416.33
Cell,¥178.70
Catching Jordan (Hundred Oaks),¥447.69
"Carry On, Warrior: Thoughts on Life Unarmed",¥280.52
Carrie,¥407.17
Buying In: The Secret Dialogue Between What We Buy and Who We Are,¥332.92
Brain on Fire: My Month of Madness,¥434.39
Batman: Europa,¥281.93
Barefoot Contessa Back to Basics,¥246.70
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,¥445.84
Balloon Animals,¥149.99
Art Ops Vol. 1,¥429.81
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),¥512.07
Angels Walking (Angels Walking #1),¥301.22
Angels & Demons (Robert Langdon #1),¥453.41
All the Light We Cannot See,¥263.08
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",¥96.00
Abstract City,¥496.48
A Time of Torment (Charlie Parker #14),¥425.84
A Study in Scarlet (Sherlock Holmes #1),¥147.35
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",¥497.45
A People's History of the United States,¥359.26
A Man Called Ove,¥349.83
A Distant Mirror: The Calamitous 14th Century,¥128.41
A Brush of Wings (Angels Walking #3),¥488.90
1491: New Revelations of the Americas Before Columbus,¥192.00
"The Three Searches, Meaning, and the Story",¥117.40
Searching for Meaning in Gailana,¥341.11
Rook,¥333.45
My Kitchen Year: 136 Recipes That Saved My Life,¥101.55
13 Hours: The Inside Account of What Really Happened In Benghazi,¥238.33
Will You Won't You Want Me?,¥122.07
Tipping Point for Planet Earth: How Close Are We to the Edge?,¥330.72
The Star-Touched Queen,¥284.48
The Silent Sister (Riley MacPherson #1),¥407.70
The Midnight Watch: A Novel of the Titanic and the Californian,¥230.76
The Lonely City: Adventures in the Art of Being Alone,¥292.94
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,¥520.96
The Golden Condom: And Other Essays on Love Lost and Found,¥347.28
The Epidemic (The Program 0.6),¥127.18
The Dinner Party,¥497.98
The Diary of a Young Girl,¥527.57
The Children,¥104.63
Stars Above (The Lunar Chronicles #4.5),¥423.20
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,¥186.81
Raspberry Pi Electronics Projects for the Evil Genius,¥437.47
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,¥379.96
Psycho: Sanitarium (Psycho #1.5),¥325.61
Poisonous (Max Revere Novels #3),¥236.04
One with You (Crossfire #5),¥138.37
No Love Allowed (Dodge Cove #1),¥481.33
Murder at the 42nd Street Library (Raymond Ambler #1),¥478.78
Most Wanted,¥310.73
"Love, Lies and Spies",¥180.99
How to Speak Golf: An Illustrated Guide to Links Lingo,¥513.65
Hide Away (Eve Duncan #20),¥104.28
Furiously Happy: A Funny Book About Horrible Things,¥365.16
Everyday Italian: 125 Simple and Delicious Recipes,¥177.03
Equal Is Unfair: America's Misguided Fight Against Income Inequality,¥500.79
Eleanor & Park,¥497.71
Dirty (Dive Bar #1),¥359.61
Can You Keep a Secret? (Fear Street Relaunch #4),¥428.40
Boar Island (Anna Pigeon #19),¥523.87
A Paris Apartment,¥343.58
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",¥341.47
Troublemaker: Surviving Hollywood and Scientology,¥426.19
The Widow,¥240.09
"The Sleep Revolution: Transforming Your Life, One Night at a Time",¥102.87
The Improbability of Love,¥523.61
The Art of Startup Fundraising,¥184.96
Take Me Home Tonight (Rock Star Romance #3),¥475.43
Sleeping Giants (Themis Files #1),¥429.28
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",¥186.28
Playing with Fire,¥120.75
Off the Hook (Fishing for Trouble #1),¥419.85
Mothering Sunday,¥117.49
"Mother, Can You Not?",¥148.76
M Train,¥239.39
Lilac Girls,¥152.19
Lies and Other Acts of Love,¥397.57
Lab Girl,¥359.79
Keep Me Posted,¥180.20
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,¥495.60
Grey (Fifty Shades #4),¥427.08
"Exit, Pursued by a Bear",¥452.18
Daredevils,¥143.91
Cravings: Recipes for What You Want to Eat,¥180.55
Born for This: How to Find the Work You Were Meant to Do,¥190.15
Arena,¥188.13
Adultery,¥183.90
A Mother's Reckoning: Living in the Aftermath of Tragedy,¥172.01
A Gentleman's Position (Society of Gentlemen #3),¥129.91
11/22/63,¥426.99
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",¥216.40
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,¥437.82
Without Shame,¥425.14
Watchmen,¥511.28
Unlimited Intuition Now,¥518.50
Underlying Notes,¥104.10
The Shack,¥246.87
The New Brand You: Your New Image Makes the Sale for You,¥387.97
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",¥108.68
The Flowers Lied,¥146.91
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",¥492.43
The Book of Mormon,¥216.40
The Art and Science of Low Carbohydrate Living,¥466.62
The Alien Club,¥479.13
Suzie Snowflake: One beautiful flake (a self-esteem story),¥482.74
Nap-a-Roo,¥220.89
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",¥91.69
Modern Day Fables,¥417.83
If I Gave You God's Phone Number....: Searching for Spirituality in America,¥184.16
"Fruits Basket, Vol. 9 (Fruits Basket #9)",¥299.01
Dress Your Family in Corduroy and Denim,¥384.71
Don't Forget Steven,¥292.67
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,¥316.37
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,¥428.31
A Shard of Ice (The Black Symphony Saga #1),¥498.77
A Hero's Curse (The Unseen Chronicles #1),¥444.69
23 Degrees South: A Tropical Tale of Changing Whether...,¥315.22
"Zero to One: Notes on Startups, or How to Build the Future",¥299.98
Why Not Me?,¥156.42
When Breath Becomes Air,¥346.66
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,¥325.35
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),¥384.18
The New Drawing on the Right Side of the Brain,¥378.90
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",¥250.57
The Martian (The Martian #1),¥364.54
The High Mountains of Portugal,¥450.50
The Grownup,¥316.01
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,¥325.08
South of Sunshine,¥254.80
Smarter Faster Better: The Secrets of Being Productive in Life and Business,¥342.52
Silence in the Dark (Logan Point #4),¥513.74
Shadows of the Past (Logan Point #1),¥349.39
Roller Girl,¥124.19
Rising Strong,¥192.18
Proofs of God: Classical Arguments from Tertullian to Barth,¥477.45
Please Kill Me: The Uncensored Oral History of Punk,¥274.71
Out of Print: City Lights Spotlight No. 14,¥472.43
My Life Next Door (My Life Next Door ),¥320.50
Miller's Valley,¥515.59
Man's Search for Meaning,¥259.65
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",¥220.72
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,¥110.53
Les Fleurs du Mal,¥255.77
Left Behind (Left Behind #1),¥358.64
Kill 'Em and Leave: Searching for James Brown and the American Soul,¥396.78
Kierkegaard: A Christian Missionary to Christians,¥415.10
John Vassos: Industrial Design for Modern Life,¥178.09
I'll Give You the Sun,¥497.45
I Will Find You,¥389.38
Hystopia: A Novel,¥193.41
Howl and Other Poems,¥356.26
History of Beauty,¥90.63
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,¥465.56
Future Shock (Future Shock #1),¥490.14
Ender's Game (The Ender Quintet #1),¥384.36
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,¥250.22
Death by Leisure: A Cautionary Tale,¥330.37
Brilliant Beacons: A History of the American Lighthouse,¥100.85
Brazen: The Courage to Find the You That's Been Hiding,¥169.28
Between the World and Me,¥501.23
Being Mortal: Medicine and What Matters in the End,¥484.94
"A Murder Over a Girl: Justice, Gender, Junior High",¥116.26
32 Yolks,¥472.35
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",¥391.76
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,¥106.39
Wildlife of New York: A Five-Borough Coloring Book,¥195.00
What Happened on Beale Street (Secrets of the South Mysteries #2),¥223.45
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,¥408.05
Under the Tuscan Sun,¥328.78
Toddlers Are A**holes: It's Not Your Fault,¥225.03
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,¥305.80
The Whale,¥316.72
The Story of Art,¥362.34
The Origin of Species,¥88.16
The Great Gatsby,¥317.51
The Good Girl,¥431.83
The Glass Castle,¥143.03
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,¥348.34
The Drowning Girls,¥314.16
The Constant Princess (The Tudor Court #1),¥146.38
The Bourne Identity (Jason Bourne #1),¥376.78
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),¥460.63
The Art Book,¥284.83
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,¥292.14
Team of Rivals: The Political Genius of Abraham Lincoln,¥177.21
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,¥184.08
"Sit, Stay, Love",¥184.08
Sister Dear,¥354.06
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",¥465.65
"Rich Dad, Poor Dad",¥455.70
Raymie Nightingale,¥303.07
Playing from the Heart,¥285.19
Nightstruck: A Novel,¥443.46
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",¥100.23
Meternity,¥383.83
Memoirs of a Geisha,¥437.47
Like Never Before (Walker Family #2),¥253.39
Life of Pi,¥116.44
Leave This Song Behind: Teen Poetry at Its Best,¥450.68
King's Folly (The Kinsman Chronicles #1),¥348.87
John Adams,¥505.81
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),¥405.23
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,¥248.81
Good in Bed (Cannie Shapiro #1),¥326.32
"Fruits Basket, Vol. 7 (Fruits Basket #7)",¥172.36
